관서명,y2011,y2012,y2013,y2014,y2015,y2016,y2017,y2018,LAT,LON
중부서,11,4,4,7,6,6,1,10,37.5648732,127.0131943
종로서,15,4,6,4,3,12,5,1,37.572816,126.9766972
남대문서,7,6,9,6,5,3,1,5,37.5547626,126.9713094
서대문서,13,16,14,14,13,5,10,10,37.564789,126.9645875
혜화서,10,2,16,12,9,2,8,8,37.57964,127.0069
용산서,14,6,9,9,7,7,6,12,37.53865,126.9661
성북서,5,6,4,5,9,1,5,6,37.59349,127.0073
동대문서,17,11,18,11,22,19,11,12,37.58506,127.0458
마포서,8,11,14,9,11,3,6,5,37.54825,126.9375
영등포서,14,25,15,10,19,16,15,17,37.52579,126.901
성동서,8,8,7,12,9,5,5,7,37.56173,127.0364
동작서,6,14,10,8,6,12,8,11,37.51307,126.9428
광진서,14,11,8,16,10,14,6,6,37.54479,127.0796
서부서,18,4,5,2,10,6,4,6,37.57325,126.8024
강북서,13,15,12,17,10,15,7,10,37.63739,127.0273
금천서,11,16,3,6,5,11,6,10,37.46781,126.905
중랑서,12,17,15,12,14,14,15,8,37.59614,127.0826
강남서,15,18,8,9,8,8,7,2,37.5102939,127.0645371
관악서,28,16,17,19,18,12,12,17,37.4738832,126.9501748
강서서,26,15,18,15,17,11,11,18,37.5579824,126.8580426
강동서,18,11,8,15,3,10,11,12,37.5292406,127.1227676
종암서,2,4,3,4,3,4,4,4,37.602531,127.0294844
구로서,20,24,14,19,10,10,6,15,37.4977676,126.8629882
서초서,7,8,16,6,9,4,6,9,37.4984365,126.9897258
양천서,27,9,10,13,22,15,10,14,37.5301194,126.8700745
송파서,18,26,7,15,15,22,11,11,37.5066782,127.0763833
노원서,22,26,15,16,15,10,11,12,37.6381153,127.0689086
방배서,1,1,0,2,4,0,1,1,37.4754948,126.9860046
은평서,17,6,8,6,6,5,4,17,37.6287248,126.9178403
도봉서,14,13,13,4,11,12,9,7,37.6639727,127.0408273
수서서,11,12,11,11,6,5,3,10,37.4848844,127.090633
