x1,x2,y
1.88E+00,5.68E-01,1.00E+00
3.69E-01,-3.49E-01,1.00E+00
9.65E-01,1.09E-01,0.00E+00
4.86E-01,2.03E-01,1.00E+00
1.73E+00,5.34E-01,1.00E+00
1.48E+00,8.73E-02,1.00E+00
2.12E+00,6.05E-01,1.00E+00
-7.40E-01,4.96E-01,0.00E+00
-3.81E-01,1.35E+00,0.00E+00
2.29E-01,8.80E-01,0.00E+00
1.31E+00,-6.97E-01,1.00E+00
8.74E-01,8.38E-01,0.00E+00
7.71E-01,-6.97E-01,1.00E+00
1.26E+00,1.29E-01,1.00E+00
-7.20E-01,6.91E-01,0.00E+00
7.92E-01,-4.05E-01,1.00E+00
1.32E+00,-4.14E-01,1.00E+00
2.66E-01,7.82E-01,0.00E+00
8.69E-02,4.94E-01,1.00E+00
-7.49E-01,-6.97E-02,0.00E+00
8.84E-01,-3.54E-01,1.00E+00
1.03E+00,7.33E-01,0.00E+00
7.39E-01,3.08E-01,0.00E+00
1.13E+00,3.32E-01,0.00E+00
1.16E+00,-5.06E-01,1.00E+00
1.57E+00,-5.91E-02,1.00E+00
2.90E-01,1.01E+00,0.00E+00
6.41E-01,-1.99E-01,1.00E+00
-1.20E+00,4.64E-01,0.00E+00
-1.70E-01,6.07E-01,1.00E+00
-5.34E-01,5.02E-01,0.00E+00
1.01E+00,3.87E-01,0.00E+00
6.53E-01,8.09E-01,0.00E+00
-5.67E-01,7.30E-01,0.00E+00
1.72E+00,3.29E-01,1.00E+00
9.65E-01,5.18E-01,0.00E+00
2.68E-01,-1.10E-01,1.00E+00
1.51E+00,-6.70E-02,1.00E+00
-5.94E-01,4.68E-01,0.00E+00
-1.06E+00,5.68E-01,0.00E+00
5.50E-01,1.17E+00,0.00E+00
-3.39E-01,1.17E+00,0.00E+00
-5.17E-01,7.45E-01,0.00E+00
-4.63E-01,8.63E-01,0.00E+00
1.69E+00,3.34E-01,1.00E+00
1.53E+00,-3.06E-02,1.00E+00
1.22E+00,-3.69E-01,1.00E+00
9.15E-01,-5.04E-01,1.00E+00
5.60E-01,-1.65E-01,1.00E+00
-1.18E+00,2.09E-01,0.00E+00
-4.69E-02,-1.57E-02,1.00E+00
1.38E+00,-4.76E-01,1.00E+00
9.74E-01,-8.63E-02,1.00E+00
-2.91E-02,-5.55E-02,1.00E+00
6.20E-01,7.52E-01,0.00E+00
1.76E+00,-1.26E-01,1.00E+00
6.67E-02,-3.39E-01,1.00E+00
1.66E+00,2.11E-01,1.00E+00
2.92E-01,4.04E-01,1.00E+00
4.83E-01,3.58E-01,1.00E+00
-3.50E-01,9.44E-01,0.00E+00
-4.99E-01,1.32E-01,1.00E+00
1.32E+00,-2.53E-01,1.00E+00
1.96E+00,-2.38E-01,1.00E+00
-1.15E+00,-3.87E-01,0.00E+00
1.69E+00,-1.34E-01,1.00E+00
-6.07E-01,5.00E-01,0.00E+00
-5.01E-01,3.63E-01,0.00E+00
-5.42E-01,7.23E-01,0.00E+00
-1.01E+00,4.13E-01,0.00E+00
8.96E-01,5.55E-01,0.00E+00
4.74E-01,1.46E-01,1.00E+00
2.29E+00,4.72E-01,1.00E+00
-1.87E-01,8.62E-01,0.00E+00
5.08E-01,3.92E-02,1.00E+00
-1.13E-01,9.34E-01,1.00E+00
9.11E-01,1.27E-01,0.00E+00
4.71E-01,-9.21E-02,1.00E+00
4.26E-01,-3.01E-01,1.00E+00
8.73E-01,8.64E-02,0.00E+00
3.19E-01,5.27E-02,1.00E+00
1.18E-01,1.42E+00,0.00E+00
7.34E-01,-4.10E-01,1.00E+00
4.45E-02,9.22E-01,0.00E+00
8.97E-01,9.42E-01,0.00E+00
-8.70E-01,7.07E-01,0.00E+00
-2.46E-01,3.78E-01,0.00E+00
3.59E-01,8.49E-01,0.00E+00
-7.28E-01,3.26E-01,0.00E+00
1.90E+00,7.99E-01,1.00E+00
1.07E+00,7.58E-01,0.00E+00
-5.95E-01,9.61E-01,0.00E+00
1.12E+00,1.82E-02,1.00E+00
6.13E-01,9.80E-01,0.00E+00
6.52E-01,3.85E-01,0.00E+00
8.57E-01,6.64E-02,0.00E+00
6.12E-01,-5.26E-01,1.00E+00
-8.66E-02,-3.89E-02,1.00E+00
1.66E+00,3.48E-01,0.00E+00
1.86E-02,1.33E+00,0.00E+00
